,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Total Educ Pop,Education (H.S. or Less),Education (H.S. or Less) %,Education (Some College or More),Education (Some College or More) %,Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
76,Indiana,IN,Sullivan County,2113,6138,8559,24.69,71.71,21026,19637,952,67,350,41,40,42,118,5346,1028,1812,1383,423,76,8,10194,6492,63.68,3702,36.32,43786,20219,77900,8855,8340,500
77,Indiana,IN,Switzerland County,930,2558,3639,25.56,70.29,10484,10241,64,16,188,40,40,41,99,2992,423,550,421,131,16,17,4649,3514,75.59,1135,24.41,43456,20698,114200,4743,3434,327
78,Indiana,IN,Tippecanoe County,27207,30711,61916,43.94,49.6,183397,154153,8585,13923,14628,28,27,30,728,22940,3834,7828,19941,10031,1590,3960,70852,27502,38.82,43350,61.18,47406,24221,139500,94726,54661,5842
79,Indiana,IN,Tipton County,1587,5589,7510,21.13,74.42,15447,14895,26,0,383,45,43,46,38,3712,589,900,1462,774,46,19,7540,4339,57.55,3201,42.45,54023,27556,110600,7638,4939,401
80,Indiana,IN,Union County,715,2445,3286,21.76,74.41,7251,6973,12,40,1,43,39,45,10,1926,295,316,576,250,40,57,3470,2231,64.29,1239,35.71,45104,22918,106100,3537,2278,191
81,Indiana,IN,Vanderburgh County,28296,40422,71957,39.32,56.18,181692,156287,16344,1923,4500,38,37,39,885,35228,6153,10263,19679,8284,1474,1066,83032,42266,50.9,40766,49.1,43311,25666,118100,92441,53361,5291
82,Indiana,IN,Vermillion County,2081,4511,6913,30.1,65.25,15752,15453,59,16,174,43,42,45,31,4215,777,1173,1043,318,41,30,7628,5023,65.85,2605,34.15,44409,22932,76200,6922,5787,431
83,Indiana,IN,Vigo County,15922,21924,39569,40.24,55.41,108099,94538,6333,2058,2708,36,35,38,549,18137,4683,5719,9840,4523,757,910,45118,23369,51.8,21749,48.2,41221,22079,91900,51766,36412,4205
84,Indiana,IN,Wabash County,3018,9819,13415,22.5,73.19,32177,30763,269,38,779,42,41,44,128,8354,875,1698,2433,1274,144,169,15075,9357,62.07,5718,37.93,47473,23745,96200,15902,10295,937
85,Indiana,IN,Warren County,839,2896,3919,21.41,73.9,8309,8145,57,1,113,45,44,45,46,2261,293,581,801,251,47,58,4338,2600,59.94,1738,40.06,58623,28690,110700,4258,2462,213
86,Indiana,IN,Warrick County,9086,19133,29609,30.69,64.62,61427,57989,941,1342,1052,41,39,42,155,11781,1990,4109,7431,3066,800,420,29752,13926,46.81,15826,53.19,61542,31021,153000,31429,16668,1419
87,Indiana,IN,Washington County,2636,8206,11333,23.26,72.41,27792,27299,13,45,355,41,40,43,187,7324,1332,1642,1399,865,76,70,12895,8843,68.58,4052,31.42,44883,22096,104600,13035,8910,1128
88,Indiana,IN,Wayne County,8322,16028,25575,32.54,62.67,67423,60513,3372,583,1869,41,39,43,408,14888,3217,3859,4611,2511,387,408,30289,18513,61.12,11776,38.88,39691,22227,94300,30948,23288,2257
89,Indiana,IN,Wells County,2585,9999,13123,19.7,76.19,27836,26968,201,193,721,41,39,42,101,6729,836,2115,2219,804,168,68,13040,7666,58.79,5374,41.21,51568,24544,118800,14115,7669,533
90,Indiana,IN,White County,2563,6813,9902,25.88,68.8,24265,22663,112,61,1833,42,41,44,113,6413,824,1693,1730,788,84,25,11670,7350,62.98,4320,37.02,51547,25859,106600,12026,7269,652
91,Indiana,IN,Whitley County,3379,11357,15535,21.75,73.11,33354,32300,130,122,615,41,40,43,203,8209,1279,2044,2628,1258,240,68,15929,9691,60.84,6238,39.16,54837,27062,129800,17343,9107,816
