,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
65,Indiana,IN,Pulaski County,1327,3854,5437,0.24406842,0.7088467909999999,12910.0,12417.0,45.0,52.0,360.0,41.6,40.1,43.8,133.0,3584.0,529.0,544.0,650.0,240.0,51.0,12.0,44884.0,23958.0,92000.0,6273.0,4040.0,442.0
66,Indiana,IN,Putnam County,3356,10637,14680,0.228610354,0.7245912809999999,37626.0,35313.0,1341.0,336.0,985.0,37.8,36.7,40.1,242.0,8347.0,1988.0,2331.0,2129.0,971.0,223.0,415.0,52465.0,23040.0,121700.0,17037.0,14225.0,1101.0
67,Indiana,IN,Randolph County,2446,7515,10456,0.23393267,0.71872609,25403.0,24524.0,236.0,49.0,819.0,42.0,40.6,43.2,128.0,6628.0,980.0,1466.0,1320.0,825.0,64.0,69.0,42418.0,22817.0,79000.0,12140.0,8097.0,775.0
68,Indiana,IN,Ripley County,2471,9806,12790,0.19319781100000002,0.7666927290000001,28633.0,27716.0,113.0,285.0,500.0,40.8,39.6,41.8,129.0,7465.0,934.0,1633.0,2300.0,903.0,118.0,69.0,52372.0,23980.0,138300.0,14303.0,8385.0,939.0
69,Indiana,IN,Rush County,1525,5292,7214,0.211394511,0.7335736070000001,16873.0,16367.0,208.0,29.0,241.0,41.2,40.3,41.9,48.0,4814.0,744.0,627.0,1050.0,455.0,93.0,30.0,46380.0,24267.0,100300.0,8111.0,5269.0,459.0
70,Indiana,IN,Scott County,2642,6074,9060,0.291611479,0.670419426,23734.0,23127.0,59.0,94.0,439.0,40.9,40.4,41.1,110.0,5919.0,1038.0,1495.0,1346.0,596.0,106.0,71.0,46368.0,23103.0,98400.0,11141.0,7834.0,750.0
71,Indiana,IN,Shelby County,4247,12718,17935,0.236799554,0.7091162529999999,44404.0,41852.0,573.0,291.0,1747.0,41.5,40.5,42.3,168.0,11038.0,2106.0,2467.0,3210.0,1470.0,255.0,150.0,52651.0,25478.0,124800.0,23163.0,12066.0,1785.0
72,Indiana,IN,Spencer County,2861,6572,9959,0.287277839,0.659905613,20777.0,20061.0,132.0,32.0,575.0,42.8,42.5,43.1,144.0,5656.0,711.0,1504.0,1435.0,619.0,91.0,73.0,54870.0,25914.0,118300.0,10575.0,6064.0,608.0
73,Indiana,IN,St. Joseph County,52247,52019,109452,0.477350802,0.47526769700000004,267696.0,211802.0,34636.0,5628.0,21797.0,36.4,35.3,37.5,1449.0,44846.0,8752.0,13294.0,29937.0,13005.0,2851.0,3186.0,46174.0,24748.0,116800.0,133922.0,76359.0,10098.0
74,Indiana,IN,Starke County,2489,6367,9226,0.26978105399999996,0.690114893,23069.0,22277.0,96.0,70.0,797.0,41.9,41.5,42.3,96.0,5342.0,1226.0,1512.0,1282.0,430.0,74.0,54.0,43401.0,21343.0,99100.0,10516.0,7842.0,995.0
75,Indiana,IN,Steuben County,3741,10127,14530,0.257467309,0.696971783,34279.0,33336.0,85.0,163.0,1151.0,42.1,41.0,43.2,128.0,7744.0,1108.0,2046.0,3027.0,1234.0,206.0,179.0,50418.0,25497.0,130000.0,17611.0,10395.0,1045.0
76,Indiana,IN,Sullivan County,2113,6138,8559,0.246874635,0.7171398529999999,21026.0,19637.0,952.0,67.0,350.0,41.0,39.9,41.9,118.0,5346.0,1028.0,1812.0,1383.0,423.0,76.0,8.0,43786.0,20219.0,77900.0,8855.0,8340.0,500.0
77,Indiana,IN,Switzerland County,930,2558,3639,0.255564716,0.7029403679999999,10484.0,10241.0,64.0,16.0,188.0,40.1,39.7,40.5,99.0,2992.0,423.0,550.0,421.0,131.0,16.0,17.0,43456.0,20698.0,114200.0,4743.0,3434.0,327.0
78,Indiana,IN,Tippecanoe County,27207,30711,61916,0.439417921,0.49601072399999996,183397.0,154153.0,8585.0,13923.0,14628.0,27.9,26.6,29.6,728.0,22940.0,3834.0,7828.0,19941.0,10031.0,1590.0,3960.0,47406.0,24221.0,139500.0,94726.0,54661.0,5842.0
79,Indiana,IN,Tipton County,1587,5589,7510,0.211318242,0.7442077229999999,15447.0,14895.0,26.0,0.0,383.0,44.5,43.1,45.5,38.0,3712.0,589.0,900.0,1462.0,774.0,46.0,19.0,54023.0,27556.0,110600.0,7638.0,4939.0,401.0
80,Indiana,IN,Union County,715,2445,3286,0.217589775,0.744065733,7251.0,6973.0,12.0,40.0,1.0,43.1,38.9,44.9,10.0,1926.0,295.0,316.0,576.0,250.0,40.0,57.0,45104.0,22918.0,106100.0,3537.0,2278.0,191.0
81,Indiana,IN,Vanderburgh County,28296,40422,71957,0.393234849,0.561752158,181692.0,156287.0,16344.0,1923.0,4500.0,37.7,36.5,39.2,885.0,35228.0,6153.0,10263.0,19679.0,8284.0,1474.0,1066.0,43311.0,25666.0,118100.0,92441.0,53361.0,5291.0
